slug	group	example	source_url	image_url	source_tier
command_console_lcars_01	Command-Console	25th Century LCARS	https://ion.studio/25th-century-lcars	https://images.squarespace-cdn.com/content/v1/56e6caba4d088e291429724c/1653683372575-1CKGOA0UGOO26ICW72XT/LCARS-GlassBend-Aug17th-v001B.png?format=1500w	Designer portfolio
command_console_lcars_02	Command-Console	25th Century LCARS elements	https://ion.studio/25th-century-lcars	https://images.squarespace-cdn.com/content/v1/56e6caba4d088e291429724c/f6545b7c-9d4f-4020-8b16-d46293e4c8d9/LCARS_II_B.gif?format=1500w	Designer portfolio
tactical_hud_ironman_01	Tactical HUD	Iron Man 3 HUD	https://www.cantinacreative.com/film/iron-man-3	https://images.squarespace-cdn.com/content/v1/612fec29295535076af32776/81919bca-c864-4419-9958-489fce95a132/im3_3.jpg?format=1500w	Studio portfolio
tactical_hud_ironman_02	Tactical HUD	Iron Man 3 HUD variant	https://www.cantinacreative.com/film/iron-man-3	https://images.squarespace-cdn.com/content/v1/612fec29295535076af32776/e2cc4601-121b-4c5e-a875-e98e1d8b33f4/im3_5.jpg?format=1500w	Studio portfolio
industrial_terminal_alien	Industrial Terminal	Alien MU/TH/UR log display	https://typesetinthefuture.com/2014/12/01/alien/	https://i.imgur.com/73pBFzYg.jpg	Replica, secondary source
industrial_terminal_andromeda	Industrial Terminal	The Andromeda Strain Wildfire display	https://ux.stackexchange.com/questions/998/interesting-user-interfaces-from-sci-fi-movies-tv	https://i.sstatic.net/LNlhZ.png	Film still, community archive
vector_wireframe_starwars	Vector-Wireframe	Star Wars targeting computer	https://www.hudsandguis.com/home/2017/3/7/rogue-one-ui	https://i.pinimg.com/originals/ee/ce/64/eece64c9c2ef86cae9b0e97e1d485384.jpg	Film still, secondary source
vector_wireframe_tron	Vector-Wireframe	TRON program display	https://tron.popapostle.com/html/episodes/Tron.htm	https://tron.popapostle.com/images/episodes/Tron/YORI.JPG	Film still archive
gestural_minority_01	Gestural Holographic	Minority Report gestural interface	https://imaginaryforces.com/project/minority-report	https://imaginaryforces.com/images/pics/1536/754_W6zGTi_minority-report-hero.jpg	Studio portfolio
gestural_minority_02	Gestural Holographic	Minority Report Pre-Crime screen	https://imaginaryforces.com/project/minority-report	https://imaginaryforces.com/images/pics/1536/15805_Hh0LRu_minority-report-still-1.jpg	Studio portfolio
hard_realism_expanse_01	Hard-Realism Tactical	The Expanse ship display	https://www.hudsandguis.com/home/2021/theexpanse	https://images.squarespace-cdn.com/content/v1/5438bd1be4b0446f6692b906/1619159152902-YFCALLEG69R19FFE4JRB/dR4fjn8.png	Designer interview archive
hard_realism_expanse_02	Hard-Realism Tactical	The Expanse telemetry	https://www.hudsandguis.com/home/2021/theexpanse	https://images.squarespace-cdn.com/content/v1/5438bd1be4b0446f6692b906/1619159152457-GFFZ8IM4Y2BAKHZ7G8HX/eENHsyp.png	Designer interview archive
nasa_interstellar_01	NASA-Utilitarian	Interstellar Endurance graphics	https://www.chriskieffer.com/work/interstellar	https://images.squarespace-cdn.com/content/v1/5845b41b6a496380c24c3754/1481925542863-XCYVXU6NQPIJWV5WI1ES/interstellar_ss11.jpg?format=1500w	Designer portfolio
nasa_interstellar_02	NASA-Utilitarian	Interstellar live playback screen	https://www.chriskieffer.com/work/interstellar	https://images.squarespace-cdn.com/content/v1/5845b41b6a496380c24c3754/4e074cb9-794e-4511-93b5-ca3035b6152a/Interstellar_SS_22.png?format=1500w	Designer portfolio
sonar_dark_knight	Sonar-Surveillance	The Dark Knight sonar surveillance room	https://filmobsessive.com/film/film-analysis/terrorism-surveillance-and-faith-the-messy-morality-at-the-heart-of-the-dark-knight/	https://filmobsessive.com/wp-content/uploads/2022/04/DARKKNIGHT_005.jpg	Film still, secondary source
sonar_mission_impossible	Sonar-Surveillance	Mission: Impossible - Rogue Nation security screen	https://territorystudio.com/project/mission-impossible-rogue-nation/	https://territorystudio.com/wp-content/uploads/2018/08/Films_Mission_Impossible_M_019.jpg	Studio portfolio
neuro_doctor_strange_01	Neuro-Medical	Doctor Strange brain display	https://www.maxon.net/es/article/spov-helps-doctor-strange-live-up-to-his-name	https://maxonassets.imgix.net/images/News/20170309_Spov-dr-Strange_01.jpg	Vendor case study with SPOV
neuro_doctor_strange_02	Neuro-Medical	Doctor Strange diagnostic display	https://www.maxon.net/es/article/spov-helps-doctor-strange-live-up-to-his-name	https://maxonassets.imgix.net/images/News/20170309_Spov-dr-Strange_02.jpg	Vendor case study with SPOV
corporate_passengers_01	Corporate-Liner	Passengers public terminal	https://www.chriskieffer.com/work/passengers	https://images.squarespace-cdn.com/content/v1/5845b41b6a496380c24c3754/8b012418-2d1b-4fb5-9d22-39a792c7065d/Passengers_SS_6.png?format=1500w	Designer portfolio
corporate_passengers_02	Corporate-Liner	Passengers ship display	https://www.chriskieffer.com/work/passengers	https://images.squarespace-cdn.com/content/v1/5845b41b6a496380c24c3754/a0accbd1-e96d-4741-aa1b-7f16c038cc5f/Passengers_SS_1.png?format=1500w	Designer portfolio
tabletop_quantum	Tabletop-Motion	Quantum of Solace MI6 table	https://www.hudsandguis.com/home/2011/06/09/007-quantum-of-solace	https://images.squarespace-cdn.com/content/v1/5438bd1be4b0446f6692b906/1414366322365-T6ASRAB762O2JRKA99OL/img_007Quantum.jpg?format=1500w	Specialist archive
tabletop_island	Tabletop-Motion	The Island Merrick desk	https://istartedsomething.com/20070621/the-island-not-microsoft-surface/	https://istartedsomething.com/wp-content/uploads/2007/06/merrickdesk_l.jpg	Designer interview
neon_bladerunner_01	Neon-Grid	Blade Runner 2049 screen graphics	https://territorystudio.com/project/blade-runner-2049/	https://territorystudio.com/wp-content/uploads/2020/10/Blade_Runner_2049_-1750x729.jpg	Studio portfolio
neon_bladerunner_02	Neon-Grid	Blade Runner 2049 spinner display	https://territorystudio.com/project/blade-runner-2049/	https://territorystudio.com/wp-content/uploads/2020/10/Blade_Runner_2049_Ks_Spinner_02-1-1750x729.png	Studio portfolio
monochrome_matrix_01	Monochrome-Blueprint	Matrix Reloaded Zion display	https://www.hudsandguis.com/home/2012/05/16/the-matrix-reloaded-ui-design	https://images.squarespace-cdn.com/content/v1/5438bd1be4b0446f6692b906/1416883270504-JWCCCSI8255USUO9JYMB/img_matrixReloaded.jpg?format=1500w	Specialist archive
monochrome_matrix_02	Monochrome-Blueprint	Matrix Reloaded virtual control	https://www.hudsandguis.com/home/2012/05/16/the-matrix-reloaded-ui-design	https://m.media-amazon.com/images/M/MV5BMDBiZWVjNTMtMmU2Yy00NzgyLTgyMTQtMTQ5Y2I2OTVlMzgzXkEyXkFqcGc%40._V1_.jpg	Film still, secondary source
diegetic_deadspace_01	Diegetic Wearable	Dead Space 2 RIG interface	https://www.hudsandguis.com/home/2012/08/22/dead-space-2-diegetic-interface-design	https://images.squarespace-cdn.com/content/v1/5438bd1be4b0446f6692b906/1416881617637-JTZ0WMNIO968ZBMAE4OQ/img_deadspace2.jpg?format=1500w	Specialist archive
diegetic_deadspace_02	Diegetic Wearable	Dead Space remake HUD	https://vulkk.com/2023/01/28/dead-space-pc-and-console-controls-guide/	https://vulkk.com/wp-content/uploads/2023/01/Dead-Space-HUD-01.jpg	Game screenshot, secondary source
retro_rogueone_01	Retro-Forward	Rogue One interface montage	https://www.hudsandguis.com/home/2017/3/7/rogue-one-ui	https://images.squarespace-cdn.com/content/v1/5438bd1be4b0446f6692b906/1489539252971-ZL30OL3CBU76A7QCFFFC/img-rogueOne.png?format=1500w	Studio work archive
retro_rogueone_02	Retro-Forward	Rogue One control console	https://www.wired.com/2017/01/check-hi-res-shots-rogue-ones-gorgeous-interfaces/	https://i.pinimg.com/originals/ba/9c/d4/ba9cd4def5f0553d95be60ece696736e.jpg	Film still, secondary source
supp_justice_league	Supplement	Justice League screen graphics	https://stevenbussey.com/Justice-League	https://freight.cargo.site/w/750/i/3ec91522dcadda0b8bede63b8a09d9f164ad616fa848599153e01b539579c038/projectimage_33_02.jpg	Designer portfolio
supp_independence_day	Supplement	Independence Day: Resurgence Area 51 UI	https://ion.studio/idr	https://images.squarespace-cdn.com/content/v1/56e6caba4d088e291429724c/1652376931432-TOVTKRU40BS8LAD76GR5/alien_b.gif?format=1500w	Designer portfolio
supp_wall_e_01	Supplement	WALL-E Axiom display	https://scifiinterfaces.com/2014/01/16/5651/	https://i0.wp.com/scifiinterfaces.com/wp-content/uploads/2014/01/walle-reportcard01.png?resize=1200%2C504&ssl=1	Specialist analysis
supp_wall_e_02	Supplement	WALL-E consumer interface	https://scifiinterfaces.com/2014/01/16/5651/	https://i0.wp.com/scifiinterfaces.com/wp-content/uploads/2014/01/walle-reportcard04.png?resize=1200%2C668&ssl=1	Specialist analysis
supp_life_01	Supplement	Life ISS screen graphics	https://www.pushing-pixels.org/2017/07/07/the-art-and-craft-of-screen-graphics-interview-with-andrea-braga.html	https://www.pushing-pixels.org/wp-content/uploads/2017/07/life1@2x.jpg	Designer interview
supp_life_02	Supplement	Life monitoring graphics	https://www.pushing-pixels.org/2017/07/07/the-art-and-craft-of-screen-graphics-interview-with-andrea-braga.html	https://www.pushing-pixels.org/wp-content/uploads/2017/07/life3@2x.jpg	Designer interview
supp_mute	Supplement	Mute screen graphics	https://dabinmotion.ch/mute	https://cdn.myportfolio.com/cf9e8877a95d3d7cec34d9d23a08c72a/6a41ce43-9e78-4a64-9395-6784d5227029_rw_1920.jpg?h=2ed0cafd1529d16e5f7e2e42839f8db1	Designer portfolio
supp_cabin	Supplement	The Cabin in the Woods control room	https://michaeltcorrado.com/cabin-in-the-woods/	https://michaeltcorrado.com/wp-content/uploads/2024/02/05-Control-Room.jpg	Production artist portfolio
supp_mission_impossible	Supplement	Mission: Impossible - Rogue Nation	https://territorystudio.com/project/mission-impossible-rogue-nation/	https://territorystudio.com/wp-content/uploads/2018/08/Films_Mission_Impossible_M_001.jpg	Studio portfolio
supp_bladerunner_ksp	Supplement	Blade Runner 2049 LAPD graphics	https://territorystudio.com/project/blade-runner-2049/	https://territorystudio.com/wp-content/uploads/2018/09/TerritoryStudio_BR_KSP_0001.jpg	Studio portfolio
supp_hal9000	Supplement	2001: A Space Odyssey HAL display	https://shot.cafe/movie/2001-a-space-odyssey-1968/screen	https://shot.cafe/images/o/2001-a-space-odyssey-1968-9948.jpg	Film still archive
